Species,Synonyms,Common name,Horizon scan team,Functional group,Native range,Environment,Likely pathway of arrival,Pathway justification,Arrival score,Arrival certainty,Arrival justification,ReferencArrival referenceses,Establishment score,Establishment certainty,Establishment justification,Establishment references,Impacts score,Impacts certainty,Impacts justification,Impacts references,Overall score,Overall certainty,Overall comments,Overall references,Assessor ,Date assessed,Reviewer,Date reviewed
Senecio sylvaticus,Senecio sylvatica,woodland ragwort,Plant,Primary producer,Eurasia,T,Transport containment,hitch hiker on boots and mechanical equipment,1,High,Spread through clear cuts of coniferous forests along the western US,"Chen, F. H. (2004). Effects of weed control on vegetation dynamics in Pacific Northwest conifer plantations.

West, N. E., & Chilcote, W. W. (1968). Senecio Sylvaticus in Relation to Douglas‐Fir Clear‐Cut Succession in the Oregon Coast Range. Ecology, 49(6), 1101-1107.",3,Medium,Found growing in acidic soils after disturbance (clearcut) and burning. Early successional annual. There is also an edaphic race of this species that tolerates low-nutrient sand dunes of the Oregon coast.,"Chen, F. H. (2004). Effects of weed control on vegetation dynamics in Pacific Northwest conifer plantations.

Kumler, M. L. (1969). Two edaphic races of Senecio sylvaticus. Botanical Gazette, 130(3), 187-191.

West, N. E., & Chilcote, W. W. (1968). Senecio Sylvaticus in Relation to Douglas‐Fir Clear‐Cut Succession in the Oregon Coast Range. Ecology, 49(6), 1101-1107.",2,Medium,Early succession of annual seed bank creates dense monocultures in clearcuts.,"Chen, F. H. (2004). Effects of weed control on vegetation dynamics in Pacific Northwest conifer plantations.

West, N. E., & Chilcote, W. W. (1968). Senecio Sylvaticus in Relation to Douglas‐Fir Clear‐Cut Succession in the Oregon Coast Range. Ecology, 49(6), 1101-1107.",6,Medium,"Likely limited to the west coast climate and soils, but fire tolerance is concerning should the seed be spread to the east coast.","Chen, F. H. (2004). Effects of weed control on vegetation dynamics in Pacific Northwest conifer plantations.

West, N. E., & Chilcote, W. W. (1968). Senecio Sylvaticus in Relation to Douglas‐Fir Clear‐Cut Succession in the Oregon Coast Range. Ecology, 49(6), 1101-1107.",Pfingsten,4/20/20,Kunzer,
Juncus inflexus,,hard rush; blue rush; European meadow rush,Plant,Primary producer,"Caucasus, Europe, North Africa",T,escape from confinement,,2,High,"Missouri Botanical Garden recommends this species as an ornamental in wet soils or water gardens,  the growing zone is 4-9, but it has been introduced only as far south as Virginia, suggesting it prefers cooler temperatures.","Missouribotanicalgarden.org; USDA Plants website (species introduced to Virginia, New Jersey, Pennsylvania, New York,  Massachusetts, and Michigan in the US, Ontario in Canada). http://www.efloras.org/object_page.aspx?object_id=67200&flora_id=5",1,Medium,"If it is introduced and escapes, it could persist in North Florida wetlands. I don't see any pressure to introduce this species to Florida gardens, given there are so many alternatives for pond gardens and wet areas that are known to perform well. Still, there is the tyranny of the new and being the first with a novelty in the garden.",Great Lakes Aquatic nonindigenous species information system; EDD maps,1,Medium,The first sighting around the Great Lakes was in 1922 and it has not caused major impacts (nas.er.usgs.gov). We don't have information about how the species might thrive and spread in frost  free areas of Florida.,Great Lakes Aquatic nonindigenous species information system; EDD maps,2,Medium,"This species could be introduced as an ornamental and escape and cause problems, but it has not become a major invader in the northern states where it has been introduced for almost 100 years.",,Anderson,4/15/20,Lieurance,
Bistorta officinalis,"Polygonum bistorta, Polygonum bistorta var. bistorta, Persicaria bistorta, Bistorta officinalis",bistort,Plant,Primary producer,Eurasia,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,Not enough information to propoerly score species,,Canavan,,Lieurance,
Holcus mollis,none,"creeping velvetgrass, creeping softgrass, German velvetgrass",Plant,Primary producer,"Europe, western Asia",T,Escape from confinement,H. mollis 'albovariegatus' is ornamental cultivar; sold as a cool-season grass in Canada (https://www.connonnurseries.com/plant/Holcus-mollis-Albo-variegatus),2,Medium,Not that attractive as an ornamental (even the cv.),Daves Garden,2,High,"Not in SE US; west coast, VA north on east coast; poor climate suitability; USDA zones 5-9; very little evidence on the interweb that H. mollis is invasive elsewhere","USDA, MOBOT, Daves Garden",1,High,Seems unlikely that this grass is aggressive enough to cause problems even if it establishes; poor competitor for more vigorous grasses,https://www.brc.ac.uk/plantatlas/plant/holcus-mollis,4,Low,Species has no unique redeeming qualities so introduction as a turfgrass is unlikely; poorly suited to FL climate based on current distribution; little evidence this species is more than a mild rare nuisance elsewhere,,Gettys,4/21/20,Lieurance,
Bolboschoenus maritimus,"Scirpus maritimus, Schoenoplectus maritimus, Bolboschoenus maritimus","Cosmopolitan bulrush, saltmarsh bulrush",Plant,Primary producer,"Widespread species. I am unable to find specifics about native range, but subspecies occur in North America and in Europe. ",M,"corridor, unaided","Water dispersed species,  No evidence of it being used as an ornamental species.  Likely to arrive to florida via alterations in hydrology or via natural dispersal. ",3,Low,"Can disperse inland along roads as corridors due to road salting.  Lives in zones 5-9 (https://pfaf.org/user/Plant.aspx?LatinName=Scirpus+maritimus).  Given that it exists in Texas, it is unclear what the barrier to it's arrival to Florida would be. ","https://link.springer.com/article/10.1007/s10530-017-1464-7,",4,Medium,"Salt-tolerant wetland species. Can occur in freshwater sites, but is stated by USDA as a early recruiter that will be replaced.  Reproduces sexually and asexually.  According to USDA range map it is in Texas.  I assume due to it's salinity tolerance that it grows at least somewhere along the Gulf, which makes me think it could grow in FL as well.  However, I am cannot be certain of this. ",https://plants.sc.egov.usda.gov/plantguide/pdf/pg_scma8.pdf,2,Low,Not known to cause impacts to native plant communities in the US.  Apparently is a weed in rice production in Phillipines and other Asian Countries,"https://plants.sc.egov.usda.gov/plantguide/pdf/pg_scma8.pdf,                                                                                            S. K. De Datta & R. Q. Lacsina (1974) Herbicides for the Control of Perennial
Sedge Scirpus maritimus L. in Flooded Tropical Rice, PANS Pest Articles & News Summaries,
20:1, 68-75, DOI: 10.1080/09670877409412337",24,,"Listed by USDA Plants database as a species of concern in Connecticut and Rhode Island and endangered in NJ, IL, NY. B. maritums spp. maritimus was introduced from Europe. GBIF lists three sub-species (https://www.gbif.org/search?q=Bolboschoenus%20maritimus).  I find it surprising that it is not present in Florida. In general, I'm finding very little regarding the biology and ecology of this species. ","Native Plant Trust, USDA Plants Database",Iannone,4/11/20,Lieurance,
Vicia cracca,"Vicia tenuifolia, Vicia semicincta, Vicia cracca ssp. cracca, Vicia cracca ssp. tenuifolia, Vicia cracca var. tenuifolia, Vicia dalmatica, Vicia elegans, Vicia incana, Vicia cracca ssp. grossheimii, Vicia cracca ssp. incana, Vicia cracca ssp. Stenophylla","bird vetch, cow vetch, tufted vetch",Plant,Primary producer,Eurasia (from western Europe to Japan),T,escape from confinement,cover crop,2,Medium,"Used as forage, fertilizer, and cover crop throughout the eastern and midwestern states. A similar species (Vicia villosa) that is also non-native is used as a cover crop in FL. Suggested vetch for FL forage are different species (Vicia villosa and Vicia sativa). Not in Dave's garden product list or Betrock plant search, so it is unlikely to arrive as a horticultural plant.",https://www.dnr.state.mn.us/invasives/terrestrialplants/herbaceous/cowvetch.html; http://blogs.ifas.ufl.edu/wakullaco/2015/01/23/hairy-vetch/; https://gardeningsolutions.ifas.ufl.edu/plants/edibles/vegetables/cover-crops.html; http://nwdistrict.ifas.ufl.edu/phag/2019/08/02/2019-cool-season-forage-variety-recommendations-for-florida/; https://davesgarden.com/products/ps/; https://www.plantsearch.com/new/search_plants.cfm,2,Medium,"It's a legume, a perennial, and a vine. It can grow from partial shade to full sun. It can reach 36–48 in. in height. It's USDA zone is 3b. In GA and AL as well as numerous states in east, midwest, and west. Abundance appears to be sparser in southeast than northeast. Inhabits ""forest margins, thickets, scrub, hill slopes, valleys, grasslands, meadows, streamsides, wet sandy land, alluvium, fields, roadsides"" in China. Inhabits distrubed or man-made habitats, meadows, and fields in the U.S. northeast. Invasive to North America, Australia, and New Zealand. It can reproduce vegetatively with belowground runners. In an experiment with plants from native and invasive range, invasive plants were not better able to cope with variable environments (shading) and it seems like the introduced plants adapted to specific conditions or differentially-adapted plants from the native range were introduced to the invasive range.","https://davesgarden.com/guides/pf/go/57178/; https://plants.sc.egov.usda.gov/core/profile?symbol=VICR; https://www.gbif.org/species/2975287; https://www.invasive.org/browse/subinfo.cfm?sub=13109; http://www.efloras.org/florataxon.aspx?flora_id=600&taxon_id=200012353; https://gobotany.nativeplanttrust.org/species/vicia/cracca/; Líblová, Zuzana, Anežka Eliášová, and Zuzana Münzbergová. ""Divergent adaptations in different parts of introduced range in tetraploid Vicia cracca."" Flora 234 (2017): 245-255.",2,High,"Can interfere with prairie restoration and invade disturbed sites. Listed on a noxious weed, invasive plant, or pest to watch in AK, IN, KY, OR, and Pacific Northwest. Inhabits forest understory and climbs into trees. At-risk bumblebees in Ontario show a preference for foraging on V. cracca. Dominant in at least one sampling site in an NY watershed in 2005/2006. In a competition experiment with a co-occurring grass and a forb in NY, V. cracca was generally unaffected by interspecific competition, exerted relatively strong effects on the forb, and weak effects on the grass. It had the greatest per capita effects on neighbors, potentially because it was the largest. Vicia villosa is common and not invasive in Florida, probably because birds and animals consume its seeds.","https://www.dnr.state.mn.us/invasives/terrestrialplants/herbaceous/cowvetch.html; https://www.invasive.org/browse/subinfo.cfm?sub=13109; Shelby D Gibson, Amanda R Liczner, Sheila R Colla, Conservation Conundrum: At-risk Bumble Bees (Bombus spp.) Show Preference for Invasive Tufted Vetch (Vicia cracca) While Foraging in Protected Areas, Journal of Insect Science, Volume 19, Issue 2, March 2019, 10; Wu, Mei-Yin, and Dennis Kalma. ""Invasive and non-native species in a small New England watershed (New York)."" Ecological Restoration 27.1 (2009): 14-15; Gurevitch, Jessica, et al. ""Competition among old-field perennials at different levels of soil fertility and available space."" The Journal of Ecology (1990): 727-744; https://gardeningsolutions.ifas.ufl.edu/plants/edibles/vegetables/cover-crops.html; http://nwdistrict.ifas.ufl.edu/phag/2019/08/02/2019-cool-season-forage-variety-recommendations-for-florida/;",8,Medium,Doesn’t seem to inhabit places like Florida and a closely related species that is planted in Florida is not an issue.,,Kendig,4/6/20,Lieurance,
Pinus halepensis,,Aleppo pine,Plant,Primary producer,Dry Mediterranean region,T,Escape from confinement.,Does not usually vector over more than ~ 20 m on its own; not vectored by animals.,2,Medium,"More available via internet sales than previous 2 assessed species, but probably unsuitable for Florida","Bing internet search, Cabi data",1,High,"Comparison of native range to humid subtropical habitat climate range maps shows 0% overlap (or 100% exclusion) within same region of nativity. Reference in Cabi re: failure to establish in Pescadore Islands, which have a humid subtropical climate.",Cabi; Distribution map of humid subtropical climate,1,Medium,"Most impacts are to arid grasslands, which are not present in FL",,2,Medium,"Species unlikely to arrive in FL, and even less likely to become established in our climate.",,Kunzer,,Lieurance,
Rumex acetosa,,sorrel,Plant,Primary producer,Europe,T,Escape from confinement; unaided,Comomonly planted in gardens in northern US,2,Low,"Seeds widely availble, but superior substitutes exist for FL gardening",,1,Low,"Based on very little data available, prefers cooler conditions than available in FL; cannot tolerate long, hot summers.",Cabi; USDA Plants distribution map https://www.plants.usda.gov/core/profile?symbol=RUAC2,1,Low,Very little data,,2,Low,"As in Glyceria fluitans, we're probably evaluating the wrong taxon. Very little data on this taxon. FNA indicates likely common misapplication of this name for Rumex acetosella, which is already in FL. (USF Atlas)",http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=200006745,Kunzer,,Lieurance,
Tripleurospermum inodorum,,Scentless false mayweed,Plant,Primary producer,Europe to Siberia and Northwest China,T,1. Transport-Contaminant  2. Transport-Stowaway  3. Unaided,"1. Contaminant in forage and commercial seed yield  2. Attach to vehicles and farm equipment  3. Dispersed by wind, water, snow, animals                                                                  1-2. Kay, 1994; https://www.jstor.org/stable/2261275  1-3. Klein 2011, Alaska National Heritage Program; https://accs.uaa.alaska.edu/wp-content/uploads/Tripleurospermum_inodorum_BIO_TRIN11.pdf  ",3,Medium,"1. Tripleurospermum inodorum is currently introduced through the northern half of the U.S., along with one country in southwest Alabama.  2. Seeds of scentless false mayweed contaminate forage and commercial seed production, and can also be transported on vehicles and other farm equipment.  3. Without human aid, these seeds can be spread by wind, water, and drifting snow and up to 26% of seeds remain viable after passing through animal digestive systems.","1. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=TRPE21  1. USDA APHIS PPQ-WRA, 2018; https://www.cabi.org/isc/FullTextPDF/2019/20197200750.pdf  2. Kay, 1994; https://www.jstor.org/stable/2261275  2-3. Klein 2011, Alaska National Heritage Program; https://accs.uaa.alaska.edu/wp-content/uploads/Tripleurospermum_inodorum_BIO_TRIN11.pdf",4,Medium,"1. Tripleurospermum inodorum is tolerant to USDA Zones 2-10, though currently its distribution in the U.S. is primarily limited to the northern half of the U.S. (around Zone 6).  2. Scentless false mayweed prefers habitats that are anthropogenically disturbed places such as fields, dry shorelines, and wastelands.  3. Large plants can produce up to 1 million seeds and solid stands can produce 1,800,000 seeds per m2.  4. But, this species, like many annual weeds of cultivated land, is extremely variable in size and habitat.  5. Seed bank can be 'extensive and persistent' with seeds remaining viable for 15 years.  6. This species is considered strongly self-incompatible and isolated plants are at risk of local extinction.  7. Scentless false mayweed typically grows as an annual, due to frequent habitat disturbance, though if left undisturbed it can be a biennial or perennial.  8. This species is listed in Colorado as a B list noxious weed, Washington as a Class C noxious weed, and in parts of Canada as a Class 3 and Class 5 noxious weed.  9. This species is a well-documented weed in agricultural systems.  10. Some references in the Global Compendium of Weeds refer to Tripleurospermum inodorum as a general 'weed' which seems to refer to natural areas, but besides this reference there is very limited evidence of impact in natural areas.","1,8. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=TRPE21  1,10. USDA APHIS PPQ-WRA, 2018; https://www.cabi.org/isc/FullTextPDF/2019/20197200750.pdf  2,7. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=200024603  2-3,5-6. Klein 2011, Alaska National Heritage Program; https://accs.uaa.alaska.edu/wp-content/uploads/Tripleurospermum_inodorum_BIO_TRIN11.pdf  4,6. Kay, 1994; https://www.jstor.org/stable/2261275  8. Canadian Food Inspection Agency Government of Canada; https://www.inspection.gc.ca/plant-health/seeds/seed-testing-and-grading/seeds-identification/tripleurospermum-inodorum/eng/1405513897968/1405513898734  9-10. Global Compendium of Weeds; http://www.hear.org/gcw/species/tripleurospermum_inodorum/",4,Medium,"1. Spring-emergent seedlings of scentless false mayweed can form dense stands, suppressing the growth of native plant seedlings.  2. Tripleurospermum inodorum is likely to alter the amount of soil moisture and nutrients available to native species.  3. In agricultural systems, this species is considered competitive against crops and, once established, studies have shown it can reduce crop yield by 40-90%.  4. This species is unpalatable to animals, reducing the quality of forage where it invades.  5. Tripleurospermum inodorum is resistant to some herbicides, due to its commonness in fields and the widespread use of herbicide in 1950s and 1960s.  6. Scentless false mayweed is potentially capable of hybridization, but there is a lack of detailed reports and natural hybridization events.  7. A combination of mowing, tillage, and hand-weeding has been effective in controlling this species.  8. British Columbia has release a biocontrol for this species, but in Alaska there is concern that the biocontrol may be detrimental to false mayweed populations.  9. As this species requires repeated disturbance, control efforts may not be necessary in some cases.","1-2,4-5,7-9. Klein 2011, Alaska National Heritage Program; https://accs.uaa.alaska.edu/wp-content/uploads/Tripleurospermum_inodorum_BIO_TRIN11.pdf  3-6. Kay, 1994; https://www.jstor.org/stable/2261275  5-6. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=200024603  6. Invasive Species Compendium, Anthemis cotula (dog fennel); https://www.cabi.org/isc/datasheet/5672",48,Medium,"Tripleurospermum inodorum is a noxious weed in northern North America with a very limited distribution in the southern U.S., but tolerance to USDA Zones 2-10 and multiple pathways of introduction. Scentless false mayweed readily invades anthropogenically disturbed areas, particularly fields, and a single individual can produce hundreds of thousands of seeds. Due to its prevalence as an agricultural weed, this species also has documented resistance to certain herbicides. However, this species requires disturbance to remain in a habitat and is rarely considered a weed in natural areas.  ","1. USDA APHIS PPQ-WRA, 2018; https://www.cabi.org/isc/FullTextPDF/2019/20197200750.pdf  2. Klein 2011, Alaska National Heritage Program; https://accs.uaa.alaska.edu/wp-content/uploads/Tripleurospermum_inodorum_BIO_TRIN11.pdf  3. Kay, 1994; https://www.jstor.org/stable/2261275",Petri (for Flory),4/27/20,Lieurance,
Persicaria hydropiper,"Polygonum hydropiper, Polygonum hydropiper var. projectum, Persicaria hydropiper",Marshpepper knotweed,Plant,Primary producer,Eurasia,F,1. Transport- Contaminant  2. Transport-Stowaway  3. Unaided,1-3. CABI Invasive Species Compendium; https://www.cabi.org/isc/datasheet/42688,5,High,"1. Persicaria hydropiper is already present in Florida.  2. Marshpepper knotweed fruits float in the water and are distributed by irrigation, by contamination of seeds in agricultural systems, and by stowing away on equipment for water recreation. (CABI).  3. The seeds can also survive internal and external transfer by birds, water buffalo, pigs, and other animals (CABI).",1. USDA PLANTS Database; https://plants.usda.gov/core/profile?symbol=POHY  1. GBIF; https://www.gbif.org/species/3152374  2-3. CABI Invasive Species Compendium; https://www.cabi.org/isc/datasheet/42688,4,Medium,"1. Persicaria hydropiper is an aquatic species that grows on sunny shorelines of lakes and ponds, banks of streams and rivers, in shallow wetlands, and in other disturbed wet habitats like pastures.  2. Marshpepper knotweed self-sows freely.  3. This plant is self-fertile.  4. Individual plants may produce between 385-3300 seeds.  5. Seed dormancy varies widely based on environmental conditions from 4 months to 50 years.  6. This species is a common weed in China, Japan, and other parts of Asia as well as Australia.  7. Persicaria hydropiper has naturalized in parts of the United States.","1. eFloras; http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242100096  1. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Polygonum+hydropiper  1. NAS-USGS; https://nas.er.usgs.gov/queries/SpeciesList.aspx?Group=Plants  2. Dave's Garden; https://davesgarden.com/guides/pf/go/91646/  3. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Polygonum+hydropiper  4-5. CABI Invasive Species Compendium; https://www.cabi.org/isc/datasheet/42688  6. Huq et al., 2014; https://www.hindawi.com/journals/ecam/2014/782830/  6-7. Global Compendium of Weeds; http://www.hear.org/gcw/species/persicaria_hydropiper/  7. GRIN; https://npgsweb.ars-grin.gov/gringlobal/taxonomydetail.aspx?id=400981",3,Low,"1. Persicaria hydropiper is a competitive weed in many crop systems, especially irrigated crops like rice. 2. This species is also very unpalatable and can reduce the value of grazing lands.  3. Marshpepper knotweed can spread aggressively in disturbed wetlands, and can occur in higher quality habitats as well. 4. Taproots of this species can grow up to 1m deep making it difficult to remove manually.  5. Though chemical control has been shown to be effective against this species.","1-2, 4-5. CABI Invasive Species Compendium; https://www.cabi.org/isc/datasheet/42688  1. Global Compendium of Weeds; http://www.hear.org/gcw/species/persicaria_hydropiper/  3. NC State Extension; https://plants.ces.ncsu.edu/plants/persicaria-hydropiper/  3. Illinois Wildflower Information; https://www.illinoiswildflowers.info/weeds/plants/waterpepper.htm",60,Medium,Persicaria hydropiper is an aquatic weed which has already naturalized in the United States and is present in Florida. Its seeds have multiple dispersal pathways and individuals can produce thousands of seeds each. This is species is likely to be highly problematic in production systems. But is not commonly found in non-disturbed natural areas and thus may not have a strong impact on native species.,"1. USDA PLANTS Database; https://plants.usda.gov/core/profile?symbol=POHY  2. CABI Invasive Species Compendium; https://www.cabi.org/isc/datasheet/42688  3. Global Compendium of Weeds, 2007; http://www.hear.org/gcw/species/persicaria_hydropiper/  4. NC State Extension; https://plants.ces.ncsu.edu/plants/persicaria-hydropiper/",Petri (for Gordon),4/6/20,Lieurance,
Glyceria maxima,"Glyceria spectabilis, Poa aquatica",reed mannagrass,Plant,Primary producer,Eurasia,F,Transport stowaway,Found in wet marsh and littoral shores (SERNEC),3,High,"Spread is likely via hitch hiking on, boat trailers, boots, or vehicle tires. Also high fertility rates.","SERNEC, King County Noxious Weed Control Program. 2012. Reed sweetgrass: Glyceria maxima. Noxious Weeds. King County Department of Natural Resources and Parks. Available http://www.kingcounty.gov/environment/animalsAndPlants/noxious-weeds/weed-identification/reed-sweetgrass.aspx. Accessed 6 August 2012.",2,Low,Prefers more temperate climates than southern US,"Weiss, J. E. R., & Iaconis, L. J. (2000). Glyceria maxima, reed sweet grass: an assessment of weed potential for Melbourne Water. Keith Turnbull Research Institute, Department of Natural Resources and Environment: Melbourne, Australia.",4,High,"Highly competitive, poisonous to livestock, facilitates other non-natives, alters habitat through denitrification","Andersson, B. 2001. Macrophyte development and habitat characteristics in Sweden's large lakes. Ambio (Sweden) 30(8): 503—513.

Buttery, B.R., and J.M. Lambert. 1965. Competition between Glyceria maxima and Phragmites communis in the region of Surlingham Broad: I. the competition mechanism. Journal of Ecology 53(1):163—181.

Clarke, A., P.S. Lake and D.J. O'Dowd. 2004. Ecological impacts on aquatic macroinvertebrates following upland stream invasion by a ponded pasture grass (Glyceria maxima) in southern Australia. Marine and Freshwater Research 55(7):709—713.

Kallner Bastviken, S., P.G. Eriksson, A. Ekström, and K. Tonderski. 2007. Seasonal denitrification potential in wetland sediments with organic matter from different plants species. Water, Air, and Soil Pollution 183:25—35.

King County Noxious Weed Control Program. 2012. Reed sweetgrass: Glyceria maxima. Noxious Weeds. King County Department of Natural Resources and Parks. Available http://www.kingcounty.gov/environment/animalsAndPlants/noxious-weeds/weed-identification/reed-sweetgrass.aspx. Accessed 6 August 2012.",24,Medium,"Not a long history in the US, but during the last 40 years, G. maxima has not established below 40° N.",nas.er.usgs.gov,Pfingsten,4/8/20,Lieurance,
Lamium galeobdolon,,yellow archangel; golden dead-nettle,Plant,Primary producer,"Europe, introduced in Western Asia",T,escape from confinement,,2,Low,"Grows along hedgerows and in native wildflower gardens in England; escaped from cultivation in Finland; it has escaped and formed dense patches in Washington state. Not yet found in warmer states, but it can grow in zones 4 to 9.",RHS.org.uk; luontoportti.com; King County (Washington) weed Identification; missouribotanicalgarden.org; invasiveplantatlas.org,2,Medium,"This plant is quite attactive and has been recommended as a ground cover, but has not established in southern states. ",missouribotanicalgarden.org; invasiveplantatlas.org,3,Medium,"This plant has escaped and caused concern in Washington State, where it forms a dense groundcover and can crowd out native species in shady woodlands. It is not listed south of Virginia  on the East Coast of the US by USDA PLANTS.",USDA Plants; invasiveplantatlas.org,12,Low,"I'm surprised this plant hasn't beeen introduced; if it is introduced, it could escape and become invasive. There are several cultivars in the nursery trade, so it is available.",,Anderson,4/15/20,Pfingsten,
Eucalyptus globulus,,southern blue gum,Plant,Primary producer,Australia,T,escape from containment,"Introduced for plantation-grown trees are mainly used for pulpwood, cellulose and paper manafacturing. Also used as a garden ornamental.  ",3,Low ,"Potential to be introduced for forestry purposes. Also, traded on Dave' garden as an ornmental plant. ",https://davesgarden.com/guides/pf/go/62576/#b,3,Medium,"Widely distributed globally. Although, predominentaly in more temperate areas, there are a few populations in subtropical areas (e.g. eastern Australia, southeastern China, South America, South Africa). ",https://www.gbif.org/species/2704505,2,,"There is a fire risk from fallen debris (leaves, bark, braches). Litter can reduce germination of seedlings of other plants, through dense litter mats and alleopathy. The lack of undergrowth from other species can lead to increased erosion, especially on dry slopes. ",,18,Medium,,,Canavan,,Pfingsten,
Acer platanoides,none (but multiple cultivars on the market),"Norway maple, harlequin maple",Plant,Primary producer,Europe and western Asia,T,Escape from confinement,ornamental tree,1,High,"Although seeds and trees are available online, I could not find any Florida nurseries offering this tree for sale. Most sale listings include the USDA hardiness zones (3-7), which is ""out of range"" for FL, and I suspect even a beginning gardener would choose something with a better climate fit",,1,High,"Produces copious amounts of viable seeds but seeds require 3 months of stratification; not present in SE US; noxious weed in CT and MA; USDA zones 4-7; from Wikipedia: ""does not require freezing... but does not perform well when planted south of the 37th parallel""","USDA, https://en.wikipedia.org/wiki/Acer_platanoides, others",1,High,"Even if this species was introduced and able to establish in FL, it is unlikely to thrive; the long stratification requirement for seed germination is likely to be unmet even in extreme N FL",,1,Very Low,This tree is invasive in some parts of the US but is poorly zone-matched for all parts of Florida. It is unlikely to successfully establish and seed recruitment would be extremely likely to occur due to long stratification requirements,*note - there's a EDIS for this species!!!,Gettys,4/21/20,Pfingsten,
Myosotis arvensis,,field forget-me-not,Plant,Primary producer,"CABI showsspecies thoughout Europe Northern Africa, Turky, Russia, Kazakhastan, and Greenland. GBIF claims it is native to Africa and Temperate Asia, Europe, but provides no source. ",T,"Escape from confinement, transport contamination, unaided. ","Dave's Garden show very little understandign of this species suggesting it is not being cultivated.   Nevertheless, I guess someone could try to grow.  Seems more likely that they species gets here on its own or is contaminant.  ",3,Very Low,Nothing makes me think that propagules may not come to Florida (but see establishmnet),,3,Low,"Dave' s Garden statst that is is growing in the following locations Boulder Creek, California(2 reports, i.e. in hill south of San Jose), Waverly, Georgia, Chester, Vermont, Seattle, Washington.  However, USDA database shows species throughout the NE, some SE states, Northern Rocky Mountain States, Pacific NW and thoughtout much of Canada. GBIF shows one documented observation along a Gulf state and in the Carribian, and in Northern South America. So based on that it might be able to establish in Florida. GBIF also list a lot of different habitats that this species can establish in. ",   https://davesgarden.com/guides/pf/go/159954/     https://plants.sc.egov.usda.gov/core/profile?symbol=MYAR            https://www.gbif.org/species/5341170,2,Medium,The fact that it is noted in many different lcoations but not noted as an ag weed or invasive species makes me think that beyond introducing a new competitor to the ecosystem that this species will have little effect even if it does establish. ,,18,Low,This is anohter species that just has very little information regarding its biology and ecology. ,,Iannone,4/17/20,Pfingsten,
Fragaria vesca,"Fragaria chinensis Losinsk, Fragaria concolor Kitag","alpine strawberry, European strawberry, sow-teat strawberry, wild strawberry, woodland strawberry, wood-strawberry",Plant,Primary producer,Europe and Asia,T,unaided or escape from confinement,Animal-assisted dispersal or escape from gardens,4,Medium,"Has likely been introduced for cultivation since the 1800s, but is no longer introduced. The cultivated hybrid species, Fragaria x ananassa, is now introduced. A range of animals disperse the species by eating the fruit. Seeds sold by nurseries in CA, OR, WI, DE, and Canada. Located all over the U.S. except the southeast (listed as native to the lower 48, but introduced to HI by USDA Plants, including the subspecies). A GBIF record in N. FL (iNaturalist 2019).",https://www.cabi.org/isc/datasheet/24409; https://davesgarden.com/products/ps/search.php?search_text=Fragaria+vesca&submit=Search; https://plants.sc.egov.usda.gov/core/profile?symbol=FRVE; https://www.gbif.org/occurrence/2238970255,3,Medium,Invasive in Hawaii and New Zealand. Can reproduce sexually (seeds) and asexually (runners). Grows well at forest edges and in disturbed areas. It can respond to a range of conditions for dormancy and flowering cues. A cold period was necessary for northern study populations to flower and this may be the case for others. It's maximum temperature (for growth? survival?) is 18C/64F. Fungal and viral pathogens that affect survival and reproduction are present in the U.S. Plant hardiness zones 5a to 9b. Occurs in southern latitudes.,https://www.cabi.org/isc/datasheet/24409; http://www.iucngisd.org/gisd/speciesname/Fragaria+vesca; https://davesgarden.com/guides/pf/go/179943/; https://www.gbif.org/species/3029817,1,High,"""No major environmental impacts from invasion have been recorded"". Not listed as invasive in the lower 48, even though it occurs here. Did not experience or exert strong competitive effects in experiments.","https://www.cabi.org/isc/datasheet/24409; https://www.invasive.org/browse/subinfo.cfm?sub=9806; Littschwager, Johanna, et al. ""Nitrogen uptake and utilisation as a competition factor between invasive Duchesnea indica and native Fragaria vesca."" Plant and Soil 331.1-2 (2010): 105-114.; Semchenko, Marina, Kristjan Zobel, and Michael J. Hutchings. ""To compete or not to compete: an experimental study of interactions between plant species with contrasting root behaviour."" Evolutionary Ecology 24.6 (2010): 1433-1445.",12,Medium,Likely to be planted as an ornamental plant and potentially already has been in FL. Mixed information on whether it could establish (may not get cold enough in winter). Little information on impacts.,,Kendig,4/15/20,Pfingsten,
Glyceria fluitans,,water mannagrass,Plant,Primary producer,Europe; elsewhere disputable?,T,Potentially all modes,,3,Low,"Google scholar articles cover phytoremediation potential of sp, which would potentially lead to intentional introduction",,2,Low,Very little data exists,,1,Low,No impact data given,,6,Low,We're probably evaluating the wrong taxon. Glyceria declinata (for which the name G. fluitans is apparently at least occasionally misapplied) has a far more extensive workup on it being invasive.,,Kunzer,,Pfingsten,
